,role
CESAR,D
GASPAR,D
PEZZELLA GER,D
BIRAGHI,D
BADELJ,C
CHIESA,C
LAPADULA,A
CENTURION,C
DALBERT,D
CANCELO,D
BARZAGLI,D
BENTANCUR,C
LUCAS LEIVA,C
MONTOLIVO,C
BIGLIA,C
KALINIC,A
ANTONELLI,D
MAGGIO,D
ALBIOL,D
ROG,C
JORGINHO,C
UNDER,C
TUMMINELLO,A
BERESZYNSKI,D
MURRU,D
FERRARI G,D
ALVAREZ R,C
GAZZOLA,D
ADJAPONG,D
DE SILVESTRI,D
BARRECA,D
EDERA,A
DANILO,D
BARAK,C
ZUCULINI B,C
COSSU,C
SAMPIRISI,D
AJETI,D
CROCIATA,C
KRAGL,C
SIMY,A
CERAVOLO,A
SALAMON,D
RIZZO,C
SCHIAVON,C
ANTENUCCI,A
CALDARA,D
CASTAGNE,D
KRAFTH,D
PETKOVIC,A
LERIS,A
ROSI,D
SZCZESNY,P
BENATIA,D
ASAMOAH,D
STURARO,C
BERNARDESCHI,C
BASTOS,D
LUIZ FELIPE,D
CALABRIA,D
BONAVENTURA,C
FLORENZI,C
GERSON,C
SCHICK,A
ANTONUCCI,A
VIVIANO,P
STRINIC,D
ZAPATA D,A
LETSCHERT,D
MAZZITELLI,C
BASELLI,C
NIANG,A
STRYGER LARSEN,D
MAXI LOPEZ,A
ADNAN,D
KEAN,A
PAVOLETTI,A
ANTEI,D
MEMUSHAJ,C
LAZAAR,D
IEMMELLO,A
GRASSI,C
GOLLINI,P
ORSOLINI,A
GONZALEZ G,D
OKWONKWO,A
BASTIEN,C
DEPAOLI,D
SPOLLI,D
ZUKANOVIC,D
COFIE,C
BRLEK,C
RICCI,A
PELLEGRI,A
RANOCCHIA,D
MURGIA,C
ROMAGNOLI A,D
OUNAS,A
HECTOR MORENO,D
GUSTAFSON,C
BOYE',A
MATOS,A
BAJIC,A
FOSSATI,C
CEPPITELLI,D
ROMAGNA,D
TONEV,C
LOMBARDI,A
PARIGINI,A
CHIBSAH,C
ARMENTEROS,A
BASTONI,D
VIDO,A
LAURINI,D
RIGONI L,C
ZAPATA C,D
GONALONS,C
VERRE,C
BIONDINI,C
ANSALDI,D
LYANCO,D
CARACCIOLO A,D
BEARZOTTI,C
GIANNETTI,A
FELIPE,D
MANCINI G,D
SPINAZZOLA,C
DA COSTA,P
STEPINSKI,A
SANCHEZ C,C
MIGLIORE,D
KARAMOH,A
PATRIC,D
DI GENNARO D,C
MAKSIMOVIC,D
CAPEZZI,C
BIZZARRI,P
LEE,A
MIANGUE,D
GRAVILLON,D
GASPAR B,D
SAPONARA,C
MAURICIO,D
NANI,A
MARIO RUI,D
KOWNACKI,A
VALDIFIORI,C
BALIC,C
DEIOLA,C
SIMIC S,D
DJIMSITI,D
IZZO,D
SANTON,D
SADIQ,A
WIDMER,D
RAFAEL,P
VAN DER WIEL,D
BRIGNOLI,P
GYAMFI,D
LO FASO,A
CASSATA,C
CROSTA,P
LOPEZ D,ALL
KANOUTE,A
FALLETTI,C
NAGY,C
MEGGIORINI,A
LUKAKU J,D
KARSDORP,D
ROMERO A,C
DE ZERBI,ALL
PIERINI N,A
SCAMACCA,A
INGELSSON,C
HAAS,C
DE SCIGLIO,D
FELIPE ANDERSON,C
SEPE,P
ROGERIO,D
BURDISSO,D
ODDO,ALL
BALLARDINI,ALL
GAUDINO,C
HOWEDES,D
JAROSZYNSKI,D
GATTUSO,ALL
EMERSON,D
GOLDANIGA,D
IACHINI,ALL
ZUCULINI F,C
BRIGNOLA,A
CALVANO,C
ZENGA,ALL
MILENKOVIC,D
TUPTA,A
ROSSI,A
FARAGO,C
BANI,D
MAZZARRI,ALL
FELICIOLI,D
BILLONG,D
DZEMAILI,C
BENALI,C
GUILHERME,C
CIONEK,D
DRAME',D
RAFINHA,C
VUKOVIC,D
CASTAN,D
LYKOGIANNIS,D
SANDRO,C
MERET,P
AVENATTI,A
PEREIRA P,D
MEDEIROS,C
HILJEMARK,C
LEMOS,D
ZAMPANO,D
AARONS,C
BARROW,A
LISANDRO LOPEZ,D
TONELLI,D
SAGNA,D
SIMIC L,D
EVERTON LUIZ,C
DABO,C
PINAMONTI,A
BOLDOR,D
HAN,A
TOSCA,D
DIABATE',A
ROMAGNOLI S,D
ANDERSEN,D
DELL'ORCO,D
BONIFAZI,D
SILVESTRI,P
CETER,A
ZANELLATO,C
VOLPICELLI,C
SANTURRO,P
PONTISSO,C
BIANCHETTI,D
VITALE,C
PEGOLO,P
DIABY,C
KEITA C,D
DRAGOWSKI,P
EL YAMIQ,D
DANZI,C
CALIGARA,C
SILVA J,D
TUDOR,ALL
D'ANNA,ALL
CAPRADOSSI,D
STIJEPOVIC,C
SPERANDEO,D
LAMANNA,P
SANOGO,A
ROSSI F,P
PINSOGLIO,P
TORRASI,C
SKORUPSKI,P
MILINKOVIC-SAVIC V,P
RUTJENS,D
MARCHEGIANI,P
