,role
RANIERI C.,ALL
CONSIGLI,P
TOLJAN,D
MULDUR,D
CHIRICHES,D
FERRARI G.,D
ROGERIO,D
KYRIAKOPOULOS,D
OBIANG,C
BOURABIA,C
LOCATELLI,C
BERARDI,A
DJURICIC,C
AYHAN,D
HARASLIN,A
DEFREL,A
CAPUTO,A
DE ZERBI,ALL
SIRIGU,P
IZZO,D
VOJVODA,D
BREMER,D
N'KOULOU,D
ANSALDI,D
MEITE',C
LUKIC,C
RINCON,C
LINETTY,C
MILLICO,A
BERENGUER,C
VERDI,C
ZAZA,A
BELOTTI,A
GIAMPAOLO,ALL
MUSSO,P
RODRIGO BECAO,D
DE MAIO,D
SAMIR,D
MATOS,A
TER AVEST,D
DE PAUL,C
PALUMBO,C
FORESTIERI,A
COULIBALY,C
ZEEGELAAR,D
OUWEJAN,D
LASAGNA,A
OKAKA,A
NESTOROVSKI,A
GOTTI,ALL
SILVESTRI,P
CETIN,D
GUNTER,D
RUEGG,D
EMPEREUR,D
LOVATO,D
FARAONI,D
DANZI,C
MIGUEL VELOSO,C
DIMARCO,D
TAMEZE,C
BARAK,C
TUPTA,A
ZACCAGNI,C
DI CARMINE,A
ILIC,C
JURIC,ALL
CRAGNO,P
FARAGO',D
WALUKIEWICZ,D
KLAVAN,D
PISACANE,D
LYKOGIANNIS,D
CALIGARA,C
ZAPPA,D
MARIN,C
OLIVA,C
ROG,C
SOTTIL,C
NANDEZ,C
SIMEONE,A
JOAO PEDRO,A
TRIPALDELLI,D
DI FRANCESCO,ALL
CORDAZ,P
MAGALLAN,D
MARRONE,D
GOLEMIC,D
MOLINA S.,C
ZANELLATO,C
EDUARDO HENRIQUE,C
CIGARINI,C
GOMELT,C
MESSIAS,A
MAZZOTTA,D
RISPOLI,D
SIMY,A
DRAGUS,A
RIVIERE,A
KARGBO,A
STROPPA,ALL
MONTIPO',P
MAGGIO,D
FOULON,D
GLIK,D
CALDIROLA,D
BARBA,D
LETIZIA,D
IONITA,C
SCHIATTARELLA,C
DABO,C
HETEMAJ,C
INSIGNE R.,A
TUIA,D
CAPRARI,A
MONCINI,A
LAPADULA,A
INZAGHI F,ALL
CALDARA,D
SUTALO,D
HICKEY,D
DENSWIL,D
POLI,C
MEDEL,C
AMRABAT,C
MARCHETTI,P
MASIELLO,D
PELLEGRINI LU.,D
D'AMBROSIO,D
BASTONI,D
NAINGGOLAN,C
ARTHUR,C
MORATA,A
PAROLO,C
CORREA,A
RAFAEL LEAO,A
COLOMBO,A
MERET,P
MAKSIMOVIC,D
GHOULAM,D
KUMBULLA,D
BRUNO PERES,D
DZEKO,A
CANDREVA,C
GABBIADINI,A
RICCI F.,A
TRAORE' HJ.,C
MURRU,D
SEGRE,C
ARSLAN,C
DAWIDOWICZ,D
FAVILLI,A
COLLEY E.,A
PAVOLETTI,A
DESPODOV,A
PEREIRA P.,D
VULIC,C
RECA,D
IMPROTA,A
SAU,A
SAPONARA,C
BANI,D
CRISCITO,D
ROVELLA,C
PARIGINI,C
SCAMACCA,A
FARES,C
MALDINI,C
HAUGE,A
CARLES PEREZ,A
REGINI,D
Palumbo A.,C
ASKILDSEN,C
PELUSO,D
SINGO,D
LYANCO,D
RODRIGUEZ R.,D
GOJAK,C
MOLINA N.,D
PEREYRA,C
LAZOVIC,C
SALCEDO E.,A
GODIN,D
TRAMONI,C
IAGO FALQUE,A
ILICIC,A
MBAYE,D
PEZZELLA GER.,D
IGOR,D
PULGAR,C
CALLEJON,C
EBOA EBONGUE,C
SHOMURODOV,A
BUFFON,P
BERNARDESCHI,C
PORTANOVA,C
HOEDT,D
VAVRO,D
MURIQI,A
INZAGHI S.,ALL
ROMAGNOLI,D
BAKAYOKO,C
MALCUIT,D
MAYORAL,A
KEITA B.,A
ADRIEN SILVA,C
LOPEZ M.,C
RASPADORI,A
NICOLAS,P
DEULOFEU,A
MAKENGO,C
PUSSETTO,A
VIEIRA,C
KALINIC,A
OUNAS,A
LUPERTO,D
SILIGARDI,A
PETRICCIONE,C
INZAGHI F.,ALL
BALDURSSON,C
MARTINEZ QUARTA,D
RANOCCHIA,D
DARMIAN,D
PINAMONTI,A
VRIONI,A
DYBALA,A
REINA,P
PEREIRA A.,C
TATARUSANU,P
MARIO RUI,D
BOGA,A
BONIFAZI,D
WALACE,C
MAGNANI,D
CROCIATA,C
BENALI,C
DI SERIO,A
PESSINA,C
LUIZ FELIPE,D
DALOT,D
SMALLING,D
MARLON,D
STRYGER LARSEN,D
CERRI,A
TELLO,C
RUGGERI,D
MIRANCHUK,C
PAU LOPEZ,P
LA GUMINA,A
NUYTINCK,D
UDOGIE,D
TRAMONI M.,C
CUOMO,D
GOLLINI,P
PICCINI,D
PRANDELLI,ALL
STURARO,C
DE LIGT,D
ALEX SANDRO,D
JUAN JESUS,D
EDERA,A
MANDRAGORA,C
CARBONI,D
DIALLO,A
PALEARI,P
FERRARI A.,D
SCHIAPPACASSE,A
JAJALO,C
MAEHLE,D
KHAILOTI,D
RABBI,A
VERGANI,A
EYSSERIC,C
PEGOLO,P
GYABUAA,C
RAVAGLIA F.,P
PAZ,D
PAGLIUCA,A
BARRECA,D
CASO,A
DRAGUSIN,D
KALULU,D
CALAFIORI,D
DA COSTA,P
MAGNANELLI,C
MILINKOVIC-SAVIC V.,P
BUONGIORNO,D
CEPPITELLI,D
YEBOAH ANKRAH,A
PEREIRO,C
DJIDJI,D
ROJAS,C
BALLARDINI,ALL
LLORENTE,A
CONTI,D
RRAHMANI,D
CALABRESI,D
ODDEI,A
PASTINA,D
DEL PINTO,C
ONGUENE',D
STROOTMAN,C
CIOFFI,A
TORREGROSSA,A
BESSA,C
SOUMAORO,D
LULIC,C
MUSACCHIO,D
MANDZUKIC,A
BASELLI,C
NICOLA,ALL
VIOLA,C
TOMORI,D
DEIOLA,C
KOKORIN,A
RUGANI,D
DI PARDO,C
FAGIOLI,C
FAZIO,D
EL SHAARAWY,A
MONTIEL,C
SANABRIA,A
BRAAF,A
ASAMOAH,D
SEMPLICI,ALL
GAICH,A
GHISLANDI,D
ANTOV,D
CASSATA,C
COSMI,ALL
OLIVERA M,D
VECINO,C
REYNOLDS,D
