,role
RECA,D
STREFEZZA,C
CASTAGNE,D
KREJCI,C
BIRASCHI,D
FAVILLI,A
BUFFON,P
DEMIRAL,D
RAMSEY,C
CONTI,D
HERNANDEZ T,D
OSPINA,P
MALCUIT,D
LUPERTO,D
MILIK,A
MAGNANELLI,C
LYANCO,D
OKAKA,A
PAZZINI,A
OLIVA,C
KJAER,D
BIRAGHI,D
BERISHA V,C
BONAVENTURA,C
KALINIC,A
SMALLING,D
CHABOT,D
VITALE L,D
SPORTIELLO,P
BARROW,A
GHEZZAL,C
CASSATA,C
BASTONI,D
ADEKANYE,A
KRUNIC,C
DUARTE,D
TRIPALDELLI,D
N'KOULOU,D
SALCEDO E,A
JANKOVIC,C
MONCINI,A
PALOSCHI,A
SVANBERG,C
SCHOUTEN,C
REINA,P
ANTONUCCI,A
PEGOLO,P
ROMAGNA,D
KYRIAKOPOULOS,D
IAGO FALQUE,A
TER AVEST,D
MATTIELLO,D
MBAYE,D
GOLDANIGA,D
JAGIELLO,C
LAZARO,C
PIOLI,ALL
PEROTTI,C
BERTOLACCI,C
RANIERI C,ALL
MILLICO,A
FARAGO',C
TRAORE' AM,A
AGUDELO,C
GUMUS,A
THIAGO MOTTA,ALL
ESPOSITO SE,A
LUKAKU J,D
CETIN,D
RUGANI,D
DANZI,C
PEDRO,A
THORSBY,C
AUGELLO,D
NUYTINCK,D
GOTTI,ALL
EMPEREUR,D
CLEONISE,A
PAZ,D
CRISTOFORO,C
STURARO,C
DIMARCO,D
BORJA VALERO,C
ANDERSON A,C
TURATI,P
EDERA,A
MIRANTE,P
ADJAPONG,D
COLLEY E,C
EYSSERIC,C
AGOUME,C
GATTUSO,ALL
DEIOLA,C
TUNJOV,C
ROVELLA,C
IACHINI,ALL
PERIN,P
BEHRAMI,C
NICOLA,ALL
IBRAHIMOVIC,A
ADOPO,C
BADU,C
WALUKIEWICZ,D
DOMINGUEZ,C
CUTRONE,A
CALDARA,D
DEMME,C
BRUNO PERES,D
DABO,C
OLIVERA M,D
YOUNG,D
LOBOTKA,C
TONELLI,D
CRAGNO,P
PADELLI,P
MOSES,C
ERIKSEN,C
SAELEMAEKERS,C
MALDINI,A
VILLAR,C
CARLES PEREZ,A
MARONI,C
MAGNANI,D
ZEEGELAAR,D
ZUKANOVIC,D
TAMEZE,C
JUWARA,A
SOUMAORO,D
LA GUMINA,A
LONGO M,ALL
PEREIRO,C
GABBIA,D
HARASLIN,A
DI BIAGIO,ALL
ZAPATA D.,A
GOMEZ A.,C
COLLEY E.,C
DA COSTA,P
BALDURSSON,C
MARTINEZ L.,A
SANCHEZ A.,A
LUKAKU R.,A
BEGOVIC,P
YOSHIDA,D
ASKILDSEN,C
RANIERI C.,ALL
LOCATELLI M.,C
LONGO M.,ALL
PELLEGRINI LU.,D
ZENGA,ALL
FARES,C
DANILO LAR.,D
SANSONE N.,A
CANGIANO,A
PEZZELLA GER.,D
ROMERO C.,D
MASIELLO A.,D
LAZZARI M.,C
ANDERSON A.,C
LUKAKU J.,D
INZAGHI S.,ALL
DONNARUMMA G.,P
HERNANDEZ T.,D
IBANEZ,D
PELLEGRINI LO.,C
FERRARI G.,D
SALCEDO E.,A
Carboni A.,D
LETICA,P
ZAPATA C.,D
MURATORE,C
ANDERSON D.,C
ROMAGNOLI A.,D
MANCINI G.,D
TRAORE' HJ.,C
SINGO,D
CARBONI,D
SUTALO,D
OLIVIERI,A
GHION,C
SALAMON,D
TERRACCIANO,P
ESPOSITO SE.,A
D'AMICO,A
LUCAS FELIPPE,C
BALLARINI,D
RUFFO LUCI,C
ROSSI F.,P
CZYBORRA,D
BELLANOVA,D
PICCOLI,A
PIROLA,D
DI FRANCESCO F.,C
CORBO,D
FALBO,D
MORO,A
COLOMBO,A
MANZARI,A
LOVATO,D
LADINETTI,C
GAGLIANO,A
CUELLAR,A
ARMINI,D
RADUNOVIC,P
MARIGOSU,C
THIAM D.,P
ISKRA,D
HORVATH,C
BONINI,D
BRANCOLINI,P
TERZIC,D
PEETERS,C
ZANIMACCHIA,A
FALCONE,P
UJKANI,P
DA RIVA,C
DALLE MURA,D
PINSOGLIO,P
FRABOTTA,D
VRIONI,A
BRESCIANINI,C
FUZATO,P
CALAFIORI,D
PICCININI,D
ROSATI,P
CELESIA,D
PALUMBO,C
