,role
ABATE,D
PALETTA,D
ROMAGNOLI A,D
ANTONELLI,D
KUCKA,C
MONTOLIVO,C
BONAVENTURA,C
SUSO,C
BACCA,A
NIANG,A
BERTOLACCI,C
POLI,C
LUIZ ADRIANO,A
MONTELLA,ALL
REINA,P
HYSAJ,D
ALBIOL,D
KOULIBALY,D
GHOULAM,D
ALLAN,C
VALDIFIORI,C
ZIELINSKI,C
HAMSIK,C
CALLEJON,A
MILIK,A
GABBIADINI,A
MERTENS,A
INSIGNE,A
SARRI,ALL
POSAVEC,P
CIONEK,D
VITIELLO,D
EMBALO,C
RAJKOVIC,D
RISPOLI,D
HILJEMARK,C
GAZZI,C
ALEESAMI,D
BENTIVEGNA,A
SALLAI,A
QUAISON,C
BALOGH,A
NESTOROVSKI,A
BALLARDINI,ALL
SZCZESNY,P
BRUNO PERES,D
MANOLAS,D
FAZIO,D
VERMAELEN,D
EMERSON,D
JUAN JESUS,D
NAINGGOLAN,C
PAREDES,C
STROOTMAN,C
SALAH,A
DZEKO,A
EL SHAARAWY,A
PEROTTI,C
SPALLETTI,ALL
VIVIANO,P
SALA,C
SILVESTRE,D
REGINI,D
PAVLOVIC,D
BARRETO E,C
ERAMO,C
TORREIRA,C
LINETTY,C
ALVAREZ R,C
SCHICK,A
MURIEL,A
BUDIMIR,A
QUAGLIARELLA,A
GIAMPAOLO,ALL
CONSIGLI,P
GAZZOLA,D
ANTEI,D
ACERBI,D
PELUSO,D
MAZZITELLI,C
BIONDINI,C
MAGNANELLI,C
SENSI,C
BERARDI,A
DEFREL,A
FALCINELLI,A
POLITANO,A
ADJAPONG,D
DI FRANCESCO,ALL
PADELLI,P
DE SILVESTRI,D
ROSSETTINI,D
MORETTI,D
MOLINARO,D
ACQUAH,C
VIVES,C
OBI,C
MARTINEZ,A
BELOTTI,A
LJAJIC,A
BOYE',A
MAXI LOPEZ,A
BASELLI,C
MIHAJLOVIC,ALL
KARNEZIS,P
HEURTAUX,D
ANGELLA,D
DANILO,D
SAMIR,D
WIDMER,D
BADU,C
FOFANA,C
LODI,C
HALLFREDSSON,C
DE PAUL,C
PENARANDA,A
ADNAN,D
ZAPATA D,A
IACHINI,ALL
STORARI,P
CEPPITELLI,D
BRUNO ALVES,D
CAPUANO,D
PAJAC,C
ISLA,D
PADOIN,C
DI GENNARO D,C
MUNARI,C
IONITA,C
MURRU,D
BORRIELLO,A
SAU,A
GIANNETTI,A
RASTELLI,ALL
CORDAZ,P
CECCHERINI,D
CLAITON,D
FERRARI G,D
SAMPIRISI,D
SALZANO,C
ROHDEN,C
MARTELLA,D
FAZZI,C
STOIAN,C
DE GIORGIO,A
SIMY,A
PALLADINO,A
NICOLA,ALL
BIZZARRI,P
ZAMPANO F,D
ZUPARIC,D
CODA,D
GYOMBER,D
BIRAGHI,D
MANAJ,A
MEMUSHAJ,C
CRISTANTE,C
CRESCENZI,D
BRUGMAN,C
VERRE,C
BENALI,C
CAPRARI,A
ODDO,ALL
MASIELLO A,D
CARMONA,C
KONKO,D
DI FRANCESCO F,C
JALLOW,A
BELLUSCI,D
BARBA,D
DIMARCO,D
ZAMBELLI,D
DIOUSSE',C
LEZZERINI,P
MILIC,D
BORJA VALERO,C
MUNOZ,D
GAKPE',C
MARCHESE,D
MURILLO,D
SANTON,D
MIANGUE,D
BENATIA,D
LICHTSTEINER,D
PJACA,A
BASTOS,D
RADU,D
PATRIC,D
FELIPE ANDERSON,C
LULIC,C
CALABRIA,D
GOMEZ G,D
DE SCIGLIO,D
LAPADULA,A
JOSE' SOSA,C
CHIRICHES,D
JORGINHO,C
GOLDANIGA,D
ANDELKOVIC,D
CHOCHEV,C
FLORENZI,D
DE ROSSI,C
BRUNO FERNANDES,C
PRAET,C
CANNAVARO,D
DUNCAN,C
MATRI,A
RAGUSA,A
CASTAN,D
BOVO,D
BENASSI,C
IAGO FALQUE,A
FELIPE,D
LUCAS EVANGELISTA,C
KONE,C
PERICA,A
SALAMON,D
BARELLA,C
DEIOLA,C
FESTA,P
ROSI,D
TONEV,C
CAPEZZI,C
DI ROBERTO,C
CAMPAGNARO,D
MITRITA,C
BAHEBECK,A
GRASSI,C
FREULER,C
PINILLA,A
DA COSTA,P
TOROSIDIS,D
VIVIANI,C
GAMBERINI,D
DE GUZMAN,C
SKORUPSKI,P
MAURI J,C
MARILUNGO,A
OLIVERA M,D
SALCEDO,D
ZARATE,A
PERIN,P
ORBAN,D
NINKOVIC,C
COFIE,C
SIMEONE,A
JOAO MARIO,C
JOVETIC,A
PJANIC,C
KEITA B,A
HONDA,C
MAGGIO,D
JAJALO,C
BRUNO HENRIQUE,C
DIAMANTI,C
POSSANZINI,ALL
ITURBE,A
TOTTI,A
DODO',D
SKRINIAR,D
PELLEGRINI,C
MISSIROLI,C
IEMMELLO,A
RICCI,A
HART,P
ARMERO,D
KUMS,C
THEREAU,A
MATOS,A
RAFAEL,P
TACHTSIDIS,C
FARIAS,A
DUSSENNE,D
CRISETIG,C
NALINI,A
TROTTA,A
AQUILANI,C
PEPE,C
BERISHA,P
DONSAH,C
FLORO FLORES,A
MARANER,ALL
BABACAR,A
CRISTOFORO,C
FELIPE MELO,C
MURGIA,C
LOCATELLI M,C
STRINIC,D
GONZALEZ G,D
DE ZERBI,ALL
PEREIRA P,D
LIROLA,D
BARRECA,D
ZAPPACOSTA,D
LOMBARDO,ALL
WAGUE,D
PISACANE,D
BITTANTE,D
JOAO PEDRO,C
BARBERIS,C
FORNASIER,D
MORLEO,D
SPOLLI,D
DE MAIO,D
EDENILSON,D
GNOUKOURI,C
NETO,P
RUGANI,D
STRAKOSHA,P
LUIS ALBERTO,A
CIGARINI,C
LETSCHERT,D
ARAMU,C
JANKTO,C
IZCO,C
MCHEDLIDZE,A
GABIGOL,A
CUADRADO,C
EWANDRO,A
MELCHIORRI,A
CALDARA,D
PESIC,A
FREY,D
ANSALDI,D
STURARO,C
LEITNER,C
MAKSIMOVIC,D
GIACCHERINI,C
BOUY,C
MURIC,C
STENDARDO,D
MBAYE,D
HELANDER,D
FLOCCARI,A
SADIQ,A
VESELI,D
EL KADDOURI,C
GERSON,C
LUKIC,C
DELNERI,ALL
MESBAH,D
VITTURINI,D
DIKS,D
HAGI,A
CORRADI,ALL
PRCE,D
DIAWARA,C
MORGANELLA,D
PUGGIONI,P
PALOMBO,C
DJURICIC,C
GRITTI,ALL
MOUNIER,C
MARCHISIO,C
PEZZELLA,D
RUDIGER,D
DESSENA,C
PASALIC,C
TERRANOVA,D
DELL'ORCO,D
MIGLIACCIO,C
FERRARI A,D
MATHEUS PEREIRA,C
VECCHI,ALL
FERNANDEZ M,C
LO FASO,A
PETTINARI,A
OKWONKWO,A
PIOLI,ALL
KEAN,A
BRUNO,C
PEREZ,A
BIRASCHI,D
FARAONI,D
ROG,C
CORINI,ALL
TRAJKOVSKI,A
PETKOVIC,A
COSTA F,D
BASTIEN,C
PELLEGRI,A
ZAPATA C,D
VANGIONI,D
DEULOFEU,A
ACOSTY,A
SULJIC,C
KIYINE,C
ANDREOLLI,D
ROSSI A,A
TONELLI,D
KASTANOS,C
CERRI,A
GNAHORE',C
BASTONI,D
MELEGONI,C
THIAM,A
FARAGO',C
DONATELLI,ALL
ZAJC,C
TAARABT,C
SUNJIC,D
LOPEZ D,ALL
BERESZYNSKI,D
CUBAS,C
TOUNKARA,A
STEFAN SILVA,A
GRENIER,C
AJETI,D
SERRA,A
KOTNIK,C
MUNTARI,C
PINAMONTI,A
MARIO RUI,D
GUSTAFSON,C
IBARBO,A
GABRIEL,P
ZEMAN,ALL
MOROSINI,C
MANDORLINI,ALL
DEPAOLI,C
FULIGNATI,P
SCUFFET,P
GABRIEL SILVA,D
CUOMO G,D
GOLLINI,P
HATEBOER,D
COULIBALY,C
SECULIN,P
RUBINHO,P
BEGHETTO,C
RAFAEL CABRAL,P
HAN,A
FIORILLO,P
MILICEVIC,C
CARLAO,D
CABEZAS,C
BIABIANY,C
BORTOLUZZI,ALL
COLOMBO,P
MANDRAGORA,C
CRECCO,C
AVELAR,D
MLAKAR,A
SARDO,D
JAKUPOVIC,A
BALIC,C
RUGGIERO,C
VIGNATO,A
VARGIC,P
CUTRONE,A
DRAGOWSKI,P
CARRIZO,P
SAINSBURY,D
AUDERO,P
SPIZZICHINO,D
PEGOLO,P
CROSTA,P
BIANCU,C
BORELLO,A
