,role
ICHAZO,P
BARONI,ALL
CONTI,D
FERRARI A,D
PELUSO,D
LYANCO,D
RECA,D
KULUSEVSKI,C
SANSONE N,A
VIGNATO,C
RODRIGUEZ A,A
MURIEL,A
CAN,C
SPINAZZOLA,D
PAQUETA',C
GABBIADINI,A
OKAKA,A
VIVIANO,P
SANABRIA,A
PEDRO NETO,A
JUNIOR TAVARES,D
ZEEGELAAR,D
MIHAJLOVIC,ALL
FREY,D
DIOUSSE',C
OBERLIN,A
VIVIANI,C
SAMMARCO,C
LERAGER,C
CEDRIC SOARES,D
RANOCCHIA,D
DEIOLA,C
SCHELOTTO,D
PIAZON,C
INGELSSON,C
DESPODOV,A
PAGANINI,C
BRUNO JORDAO,C
DONSAH,C
DEMIRAL,D
ODGAARD,A
Millico,A
WILMOT,D
BADU,C
TUDOR,ALL
DORATIOTTO,A
VERDE F,A
PEGOLO,P
JANKOVIC,C
JANDREI,P
NICOLUSSI CAVIGLIA,C
CHIRICHES,D
CELAR,A
RANIERI C,ALL
DIONISI,A
STURARO,C
REGINI,D
MONTIEL,A
VALENCIA JM,C
REINA,P
PICCOLI,D
GRUBAC,A
NIKOLAOU,D
MONTELLA,ALL
GOZZI,D
KASTANOS,C
MAVIDIDI,A
DAMASCAN,A
SEMPER,P
KARAMOKO,C
BELOKO,C
MATHEUS PEREIRA,C
NDRECKA,D
POLUZZI,P
IBANEZ,D
CORBO,D
BARDI,P
PROTO,P
GAETANO,C
GUERRIERI,P
ARMINI,D
RAFAEL CABRAL,P
ROSSI F,P
BURRUCHAGA,C
JUWARA,A
PINSOGLIO,P
PORTANOVA,C
CAPANNI,C
RASPADORI,P
SERNICOLA,D
MICIN,A
