,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37
PESSINA,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,6.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
BARROW,0.0,5.5,6.0,5.0,0.0,0.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,6.5,0.0,5.0,0.0,6.5,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,10.0,5.5,0.0,6.0
ZAPATA D,8.0,5.0,5.0,8.0,6.0,6.0,5.5,6.0,6.0,10.0,6.5,7.5,10.0,17.5,9.5,9.5,13.0,9.5,21.0,6.0,5.0,11.5,5.0,5.0,6.0,9.5,7.5,13.5,9.5,0.0,5.0,11.5,7.5,10.0,5.5,6.0,9.5,6.0
GOMEZ A,0.0,5.5,5.5,9.0,5.5,5.5,6.0,6.5,5.5,5.0,9.5,5.5,6.0,5.0,5.5,5.5,7.0,12.5,6.5,9.0,5.5,6.0,6.0,0.0,10.5,5.0,6.0,8.0,6.0,5.5,5.5,7.0,7.0,8.0,0.0,6.0,11.5,16.5
GASPERINI,6.5,5.0,5.0,6.0,5.0,5.5,5.5,7.0,7.0,6.5,7.5,5.0,5.5,7.0,7.0,5.0,7.0,7.5,8.0,6.5,7.0,6.5,5.0,5.0,7.0,6.0,5.5,6.5,8.0,6.0,5.5,6.0,7.0,7.5,7.0,6.5,7.0,7.0
SKORUPSKI,7.0,2.5,4.5,8.0,4.5,5.0,4.5,4.5,4.0,4.0,4.5,8.0,1.5,4.0,7.0,7.0,4.5,2.0,5.0,1.0,8.0,5.5,4.0,5.0,4.0,8.0,4.0,5.0,1.5,7.0,7.5,7.0,5.0,3.5,5.0,3.0,4.0,5.5
GONZALEZ G,6.5,0.0,5.0,0.0,0.0,0.0,0.0,6.5,7.5,5.5,6.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,6.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
FALCINELLI,5.5,5.5,0.0,7.5,5.5,5.5,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
DANILO,6.5,6.0,5.0,6.5,4.5,6.5,4.0,5.5,0.0,0.0,6.0,6.5,4.0,5.0,7.0,5.5,5.5,9.5,7.0,5.5,6.5,6.5,5.0,6.5,6.5,6.0,7.0,6.0,0.0,6.5,6.5,6.5,6.0,5.5,6.5,5.5,6.5,6.0
HELANDER,6.0,5.5,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.5,5.0,6.5,5.0,5.5,6.0,6.5,6.0,5.5,5.0,4.5,0.0,0.0,5.5,5.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
MATTIELLO,6.0,5.0,5.5,10.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,5.5,5.5,6.5,5.5,5.0,5.0,5.0,0.0,3.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
POLI,6.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,5.5,6.0,6.5,6.0,9.0,9.0,6.5,0.0,6.5,6.5,5.5,4.0,6.0,8.0,6.5,6.5,4.5,0.0,10.0,6.0,0.0,0.0,6.5,6.0,6.0,5.0,0.0,10.5,0.0,5.0
ORSOLINI,6.0,5.5,5.5,0.0,0.0,10.0,5.5,7.5,6.0,6.0,10.5,5.5,5.5,6.5,6.0,6.0,5.5,0.0,5.5,5.5,6.0,0.0,0.0,5.5,7.5,6.0,10.0,7.5,9.5,6.5,6.0,9.0,9.5,5.5,11.5,10.5,6.0,0.0
PULGAR,6.0,5.5,4.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,5.5,5.5,4.5,0.0,0.0,0.0,0.0,6.5,5.0,5.5,7.0,6.0,5.5,5.5,0.0,10.0,7.5,10.0,5.0,13.5,5.5,10.5,6.0,5.0,7.5,6.0,6.5,4.5
NAGY,0.0,0.0,0.0,6.5,6.0,5.5,6.0,4.5,0.0,0.0,0.0,0.0,0.0,5.5,6.5,4.5,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
DZEMAILI,5.5,4.0,5.0,6.0,5.5,6.0,5.5,0.0,6.0,5.5,5.0,6.0,0.0,5.0,5.0,5.5,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.5,6.0,6.0,6.0,0.0,6.0,6.0,6.5,6.0,0.0,7.5,0.0,10.0,4.5
DIJKS,6.5,6.0,5.0,0.0,5.0,6.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.5,0.0,5.0,6.0,5.0,6.0,6.0,6.5,0.0,9.5,6.0,0.0,6.5,5.0,0.0,6.5,6.5,6.5
PALACIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,9.5,6.0,5.5,5.5,5.0,8.0,6.0,5.5,5.5,8.0,10.0,6.0,6.5,6.0,0.0,0.0,10.0,6.5,8.0,6.5,0.0,6.0,5.0,6.0,6.0,5.5,6.5,9.5,7.5,6.0
SANTANDER,6.0,6.0,0.0,10.0,6.0,10.0,4.5,10.0,7.0,7.5,10.0,5.5,5.0,6.0,4.5,5.0,5.0,9.5,6.0,0.0,10.0,6.0,5.5,5.5,5.0,6.0,0.0,0.0,0.0,0.0,-0.5,0.0,6.0,0.0,6.0,6.0,15.0,5.5
INZAGHI F,6.0,5.5,4.0,7.0,5.5,7.0,5.5,6.5,5.5,6.0,6.0,6.5,4.5,5.0,6.0,6.0,5.5,6.5,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
SORRENTINO,0.0,7.5,5.0,4.5,4.0,5.5,3.5,0.0,3.5,4.5,5.0,8.0,5.5,5.5,7.0,6.0,4.0,7.5,7.0,1.0,4.0,3.0,9.0,7.0,3.0,3.5,6.0,2.5,2.0,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5
SECULIN,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
TOMOVIC,8.5,5.5,5.5,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0
ROSSETTINI,4.5,6.5,4.5,5.0,4.5,5.0,5.0,5.0,5.0,5.5,5.0,7.0,5.0,0.0,6.0,6.0,0.0,6.5,6.0,5.5,6.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
BANI,0.0,6.5,6.0,6.0,0.0,0.0,4.5,4.0,5.0,5.5,4.5,6.5,6.5,5.5,6.0,5.5,5.0,6.0,4.0,0.0,6.5,4.5,6.5,7.0,4.5,5.0,0.0,5.5,4.5,3.5,0.0,6.0,6.5,0.0,6.5,6.5,0.0,3.0
CACCIATORE,0.0,0.0,0.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.5,0.0,5.5,0.0,0.0,5.0,5.5,5.0,6.5,0.0,6.5
DEPAOLI,4.5,6.0,0.0,0.0,5.5,5.5,6.0,4.5,7.5,5.0,6.5,6.0,6.0,4.0,0.0,5.5,6.0,6.5,5.5,8.5,0.0,5.5,4.5,0.0,5.0,6.5,6.0,3.0,0.0,5.0,5.0,7.5,6.0,5.0,5.5,6.0,5.0,6.5
RIGONI N,5.0,6.0,7.0,6.0,6.0,5.5,5.0,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.5,6.0,0.0,6.0,5.5,5.0,0.0,0.0,6.0,4.5,5.0,0.0,5.5,6.0,5.0,4.0,0.0,4.5,5.5
RADOVANOVIC,4.5,6.0,6.0,5.5,5.5,5.0,5.5,5.0,5.0,6.0,5.5,6.0,5.0,5.5,5.0,0.0,6.0,5.0,5.0,0.0,6.0,6.0,5.0,6.0,6.0,5.5,6.0,6.0,5.0,6.0,0.0,5.0,6.0,5.5,6.0,5.5,5.5,5.5
HETEMAJ,5.5,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.5,5.5,5.5,5.5,5.0,6.0,5.5,6.0,5.0,5.0,6.0,5.5,0.0,9.0,5.5,5.0,5.0,0.0,5.0,9.5,5.5,5.5,5.0,6.0,0.0,5.5
OBI,5.0,6.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,6.0,6.0,6.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIACCHERINI,4.5,5.5,6.5,5.5,6.0,6.5,0.0,0.0,5.0,2.5,0.0,0.0,0.0,6.0,5.0,6.5,5.0,9.5,5.5,6.0,10.0,6.0,6.0,0.0,5.0,5.5,5.5,5.5,2.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
STEPINSKI,5.0,5.0,10.0,5.5,5.0,4.5,5.5,4.5,9.0,5.0,5.5,5.5,0.0,10.0,5.5,7.5,5.0,6.0,5.5,10.0,9.5,5.5,6.0,5.0,5.0,5.5,6.0,5.5,4.5,5.5,5.0,6.0,5.0,6.0,0.0,4.5,0.0,9.5
DJORDJEVIC,0.0,5.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,5.5,5.0,4.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
D'ANNA,5.0,6.0,7.0,5.0,5.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
TERRACCIANO,4.0,7.5,5.0,3.0,7.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
DI LORENZO,6.5,5.5,6.0,6.0,6.5,6.0,6.0,6.0,6.0,4.5,6.0,6.0,5.5,6.0,5.5,5.5,5.0,0.0,9.5,9.5,7.5,5.5,6.5,4.5,6.0,6.0,6.0,6.0,10.5,5.5,5.0,5.5,5.5,7.5,9.5,10.5,5.5,6.5
RASMUSSEN,4.5,0.0,5.5,0.0,6.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.5,5.5,6.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.0,0.0,0.0,0.0,0.0,5.5
SILVESTRE,4.5,6.0,5.0,5.5,6.0,6.0,5.0,7.0,6.0,4.5,5.5,10.0,6.5,5.5,4.5,5.0,4.5,6.0,6.0,6.0,5.0,6.0,6.5,4.5,6.5,5.5,6.0,0.0,6.5,5.0,0.0,0.0,0.0,6.5,7.0,6.5,6.5,6.5
ANTONELLI,5.5,6.0,0.0,0.0,0.0,0.0,0.0,7.5,6.5,5.5,6.0,0.0,0.0,0.0,5.5,0.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5
PASQUAL,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,5.5,0.0,7.5,5.5,6.0,0.0,9.0,0.0,6.5,7.5,5.5,6.0,5.5,5.5,5.0,6.0,5.5,5.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0
KRUNIC,5.0,6.0,5.5,5.5,5.5,5.0,5.0,6.5,6.0,7.0,7.0,6.5,11.0,6.5,9.5,0.0,4.0,0.0,0.0,5.5,6.0,6.0,10.5,5.0,5.5,5.0,7.5,6.0,6.0,11.5,6.0,6.0,5.0,6.0,5.5,0.0,0.0,10.0
CAPEZZI,5.5,5.5,5.5,5.5,3.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,6.0
ACQUAH,5.5,5.5,6.5,0.0,0.0,0.0,6.0,6.0,7.0,5.5,6.5,0.0,0.0,0.0,0.0,5.0,0.0,6.0,6.0,0.0,0.0,5.0,10.0,5.0,5.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,10.0,5.5,6.5
ZAJC,6.0,6.0,5.0,4.0,0.0,6.5,6.0,9.0,6.0,5.5,10.0,6.0,6.0,7.0,5.5,5.5,5.5,6.0,10.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
VESELI,0.0,0.0,6.5,5.0,6.0,5.0,5.5,0.0,0.0,0.0,0.0,6.0,5.5,4.5,5.0,5.0,5.0,6.0,4.5,5.0,5.5,6.0,6.0,5.0,5.0,5.0,0.0,6.0,6.5,5.0,6.0,5.5,5.5,6.5,6.0,6.0,0.0,0.0
LA GUMINA,5.0,5.5,6.0,5.5,5.0,0.0,0.0,7.0,0.0,0.0,6.0,10.0,5.0,11.0,5.0,5.5,5.5,6.0,0.0,0.0,0.0,0.0,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
BENNACER,6.0,0.0,5.5,6.5,6.0,5.5,5.0,5.0,5.5,4.5,6.0,5.5,7.5,6.5,6.5,6.0,5.0,6.0,0.0,6.5,5.5,6.0,6.5,5.5,5.5,5.0,6.5,5.5,8.0,6.0,4.5,6.0,6.0,5.5,6.0,6.5,5.5,0.0
CAPUTO,5.0,5.5,5.5,10.0,10.0,6.0,1.5,5.0,10.0,9.5,11.0,2.0,10.0,10.0,7.0,9.5,5.0,5.0,7.0,5.5,13.5,5.5,6.0,5.5,9.5,6.0,10.0,6.0,6.5,9.5,5.5,9.5,5.0,6.5,2.5,9.5,5.0,10.0
ANDREAZZOLI,6.0,6.0,6.0,5.5,7.0,5.5,5.5,5.5,6.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.0,7.5,5.5,6.5,5.5,6.0,7.0,7.0,7.5,6.5,7.0
DRAGOWSKI,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,2.5,2.5,4.0,4.5,5.5,0.0,2.5,9.5,2.0,3.0,9.0,5.5,5.5,9.0,5.0
MILENKOVIC,10.0,6.0,6.0,10.0,6.0,6.5,6.0,6.0,5.5,6.0,5.5,5.5,5.5,3.5,0.0,6.5,5.5,6.5,4.5,0.0,5.0,0.0,5.5,0.0,5.0,6.0,5.0,6.5,5.0,5.5,6.0,10.0,6.0,5.0,6.5,6.0,6.5,5.5
PEZZELLA GER,6.5,5.5,5.0,6.5,5.5,6.5,6.5,5.0,7.0,6.5,6.0,0.0,4.5,7.5,6.0,5.5,5.5,7.0,9.5,4.5,7.0,6.5,0.0,0.0,6.0,7.0,5.0,0.0,10.0,5.0,6.0,3.0,4.5,6.5,0.0,0.0,6.0,6.0
VITOR HUGO,6.0,6.5,6.0,6.5,5.0,6.0,5.5,6.0,6.5,6.5,6.0,6.0,5.0,0.0,6.0,6.0,3.0,0.0,4.5,5.5,0.0,5.5,5.5,5.5,5.5,0.0,0.0,7.5,6.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.5,5.5
BIRAGHI,8.0,5.5,6.0,5.0,5.5,9.5,6.0,6.0,6.0,5.0,6.0,5.5,6.0,5.5,7.5,5.5,5.5,6.0,5.0,0.0,6.0,5.5,7.0,5.5,5.5,6.0,5.0,6.0,7.0,6.5,6.0,0.0,5.0,6.0,4.5,6.0,6.0,7.5
FERNANDES,5.5,6.0,5.5,0.0,5.5,5.0,6.0,6.0,5.5,6.0,5.5,6.0,4.5,5.0,0.0,5.0,5.5,5.5,3.5,0.0,10.0,6.0,9.5,5.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.0,5.5,0.0,6.0,5.5
VERETOUT,0.0,0.0,6.5,7.5,6.0,10.0,6.5,10.0,5.5,9.5,6.0,6.5,4.5,4.5,0.0,6.5,5.5,6.5,6.0,6.0,5.0,6.5,11.0,9.5,5.5,5.5,0.0,6.0,5.5,5.5,5.5,6.0,1.5,4.0,0.0,5.5,5.5,5.5
GERSON,11.5,5.0,6.0,6.5,6.0,5.0,5.5,6.0,5.0,6.5,5.5,6.0,5.5,5.5,5.5,6.0,5.0,0.0,5.5,7.5,5.0,6.5,10.0,5.0,0.0,6.0,6.5,5.5,10.0,5.5,5.5,5.5,5.5,0.0,6.5,3.5,5.5,5.5
BENASSI,13.5,10.0,5.0,6.0,6.5,6.0,4.5,0.0,10.0,5.5,10.0,6.0,5.5,9.0,5.5,6.0,5.0,5.5,0.0,8.5,0.0,0.0,5.0,5.5,0.0,6.5,5.5,5.5,6.0,6.0,5.5,5.5,0.0,6.0,5.5,5.5,5.0,5.0
CHIESA,9.5,7.5,5.5,10.0,6.5,6.5,6.5,6.5,6.0,6.0,7.5,5.5,5.5,5.5,6.5,9.5,5.5,5.5,6.5,14.0,6.5,5.5,7.0,7.0,6.5,6.0,9.0,0.0,6.0,5.5,5.5,6.5,6.5,6.0,6.0,5.5,5.5,6.5
SOTTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIMEONE,11.0,6.0,5.5,5.5,5.0,5.0,5.0,5.0,5.0,6.0,5.5,5.0,4.5,10.0,11.5,5.5,5.0,5.0,5.0,7.0,6.0,0.0,10.0,6.0,5.5,5.5,5.5,9.5,4.5,5.5,5.5,5.0,6.0,5.5,0.0,5.0,0.0,10.0
PJACA,6.0,6.0,0.0,11.0,6.5,5.0,4.5,5.0,0.0,5.5,5.5,0.0,5.5,5.5,0.0,0.0,5.5,0.0,0.0,0.0,6.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
MIRALLAS,0.0,0.0,0.0,6.5,5.5,6.0,0.0,5.5,4.5,5.0,6.0,0.0,0.0,10.0,10.0,5.5,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,5.5,5.5,5.5,5.0,6.0,5.5,5.0,5.0,5.0,5.5,0.0,0.0
PIOLI,7.0,7.0,6.0,7.0,6.0,6.5,5.5,6.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,5.0,5.0,6.5,6.5,6.0,6.0,7.0,6.5,5.5,6.5,5.0,6.0,6.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
SPORTIELLO,7.5,5.0,1.0,4.0,1.0,4.0,3.5,3.0,7.0,7.0,5.5,3.5,6.0,2.0,4.0,4.5,7.5,5.0,1.5,7.0,5.5,7.5,2.5,2.0,7.5,3.5,4.0,5.0,4.0,7.0,3.0,5.5,3.5,4.0,0.0,0.0,0.0,1.5
ZAMPANO,6.0,6.0,5.0,5.5,5.5,6.0,5.0,6.5,5.5,6.5,5.0,5.0,7.5,5.5,6.5,5.0,6.0,0.0,0.0,0.0,6.0,6.5,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,5.5,6.0,5.0
GOLDANIGA,0.0,0.0,0.0,6.0,5.0,4.5,9.0,6.0,6.5,6.0,5.5,5.0,5.0,5.0,5.0,6.0,6.0,6.0,3.5,0.0,0.0,8.0,6.0,3.5,6.0,5.5,5.0,0.0,0.0,5.5,5.0,6.5,5.5,6.0,0.0,5.5,0.0,4.5
SALAMON,5.5,5.5,5.0,6.0,0.0,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.5,0.0,5.5,5.5,7.0,4.5,6.0,7.0,6.0,5.5,6.0,6.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
KRAJNC,5.5,0.0,4.5,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.5,0.0,4.0,6.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
MOLINARO,6.0,6.0,5.5,5.0,0.0,5.5,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.5,6.0,6.5,5.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
CHIBSAH,7.0,5.0,5.0,6.0,6.5,6.5,6.5,6.5,9.5,5.0,6.5,5.5,6.5,6.0,4.0,5.5,6.5,6.0,5.0,6.0,6.0,6.5,5.5,6.0,6.5,6.0,5.0,0.0,0.0,6.0,4.5,0.0,0.0,6.0,0.0,0.0,0.0,5.5
MAIELLO,6.0,6.5,4.0,5.5,0.0,0.0,0.0,6.0,5.5,6.0,5.0,0.0,6.0,5.0,6.0,5.5,6.5,5.5,5.0,6.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,6.0,5.5,0.0,0.0,6.0,6.5,5.0
SODDIMO,0.0,0.0,5.5,0.0,5.5,5.5,0.0,0.0,0.0,6.0,7.5,0.0,0.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
HALLFREDSSON,0.0,0.0,4.5,5.5,0.0,5.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,10.0,4.5
CIANO,5.5,6.0,4.5,5.5,5.0,9.5,9.5,6.0,11.0,6.0,0.0,0.0,0.0,5.5,5.5,10.0,6.0,4.5,0.0,13.5,5.5,5.5,5.5,11.5,6.0,6.5,5.0,6.0,6.5,0.0,5.5,5.0,0.0,7.0,5.5,1.5,5.5,6.0
